"df_names","df_long","df_lat"
"สน.ปตท. แหลมฉบังขาออก","100.9861239","13.1347565"
"PTT Service Station","101.0208211","13.3922915"
"Bangchak Gas Station+LPG ปั๊มน้ำมันบางจาก+LPG","100.9911755","13.2787217"
"Shell Gas Station","101.075522","13.658654"
"PT Gas Station","100.9976907","13.5654775"
"Caltex Gas Station","100.9856408","13.1255146"
"NGV Station","101.0030802","13.2263452"
"Bangchak Gas Station","100.899405","12.949894"
"Gas station","101.0592762","13.4973611"
"Shell","100.9094188","12.9603416"
"Gas station","101.0819828","13.5090712"
"Gas station","101.093001","13.4807913"
"TPI Gas Station","100.999064","13.412852"
"สน.ปตท.ไทม์เว็นเจอร์ส","101.0419323","13.4574626"
"เชลล์บ้านบึง บจก. ประเสริฐยิ่งปิโตรเลียม","101.1184121","13.3236471"
"สน.ปตท. บจ.เอส ที เพาเวอร์ กรุ๊ป (ขาออก)","101.010348","13.5383672"
"PaP Gas LPG Station","101.0914814","13.3250797"
"Gas station","101.121251","13.5528834"
"PTT Petrol Station","100.9849511","13.1368416"
"NGV","101.0084567","13.3945658"
"PT Gas Station","100.9002792","12.9265507"
"PTT Gas Station","100.9222947","13.1585491"
"Shell","100.890057","12.937292"
"PTT","100.8885894","12.9090555"
"PTT Service Station","101.0208211","13.3922915"
"Bangchak Gas Station+LPG ปั๊มน้ำมันบางจาก+LPG","100.9911755","13.2787217"
"สน.ปตท. แหลมฉบังขาออก","100.9861239","13.1347565"
"PTT","100.8969193","12.9066133"
"เชลล์บ้านบึง บจก. ประเสริฐยิ่งปิโตรเลียม","101.1184121","13.3236471"
"Service stations","100.9783251","13.3327213"
"NGV Station","101.0030802","13.2263452"
"PTT NGV Service Station","100.9955492","13.0115038"
"PTT ปตท.นาเกลือ (บริษัท แลนด์ แอร์ แอนด์ วอเตอร์ อิมพอร์ต-เอ็กพอร์ท จำกัด)","100.8990665","12.9670282"
"Thai Oil Gas Station","100.9359938","13.1932524"
"PTT Service Station","100.9192944","12.9829491"
"ptt station Lam Road KC Energy.","100.9886858","13.2865864"
"Bangchak Gas Station","100.899405","12.949894"
"ปั๊ม ปตท.อ่างศิลา-พระยาสัจจา","100.939387","13.327305"
"TPI Gas Station","100.999064","13.412852"
"Gas station","101.093001","13.4807913"
"สน.ปตท.ไทม์เว็นเจอร์ส","101.0419323","13.4574626"
"สถานีบริการน้ำมัน SHELL","100.8838619","12.9230749"
"Shell","100.9094188","12.9603416"
"Best Energy Plus Co., Ltd. Branch 37 (NongMon)","100.9336291","13.2470791"
"ปั้มน้ำมันปตท.","100.7354494","13.5054557"
"Gas station","101.0173498","13.3880218"
"PTT","100.9458313","12.9432204"
"PTT Petroleum Oil Co.Ltd","100.9524528","13.3175089"
"Bangchak Gas Station","100.897279","12.887797"
"Caltex Gas Station","100.9856408","13.1255146"
"Caltex (Star Holding Company Limited)","100.8961511","12.9042876"
"LPG Station","101.0197823","13.3814308"
"PTT NGV Service Station","101.068339","13.337031"
